X,Y,countyname,depth_to_water,town,date,ID,countycode,township,year,year2,depth
-95.223996,39.002366,Douglas,-21.22,MIDLAND,1984/01/05,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.2,MIDLAND,1984/01/10,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.17,MIDLAND,1984/01/15,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.19,MIDLAND,1984/01/20,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.1,MIDLAND,1984/01/25,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.12,MIDLAND,1984/01/31,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.21,MIDLAND,1984/02/05,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.28,MIDLAND,1984/02/10,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.26,MIDLAND,1984/02/15,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.28,MIDLAND,1984/02/20,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.62,MIDLAND,1984/02/29,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.6,MIDLAND,1984/03/05,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.6,MIDLAND,1984/03/10,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.63,MIDLAND,1984/03/15,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.42,MIDLAND,1984/03/20,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.92,MIDLAND,1984/03/25,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.66,MIDLAND,1984/03/31,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.4,MIDLAND,1984/04/05,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.09,MIDLAND,1984/04/10,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-19.72,MIDLAND,1984/04/15,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-19.55,MIDLAND,1984/04/20,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-19.4,MIDLAND,1984/04/25,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-19.2,MIDLAND,1984/04/30,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-18.92,MIDLAND,1984/05/05,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-18.85,MIDLAND,1984/05/10,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-18.92,MIDLAND,1984/05/15,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-18.92,MIDLAND,1984/05/20,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-19.02,MIDLAND,1984/05/25,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-18.74,MIDLAND,1984/05/31,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-18.73,MIDLAND,1984/06/05,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-18.65,MIDLAND,1984/06/10,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-18.5,MIDLAND,1984/06/15,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-18.5,MIDLAND,1984/06/20,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-17.32,MIDLAND,1984/06/25,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-17.29,MIDLAND,1984/06/30,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-17.4,MIDLAND,1984/07/05,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-17.45,MIDLAND,1984/07/10,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-17.72,MIDLAND,1984/07/15,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-18.07,MIDLAND,1984/07/20,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-18.4,MIDLAND,1984/07/25,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-18.8,MIDLAND,1984/07/31,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-19.15,MIDLAND,1984/08/05,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-19.43,MIDLAND,1984/08/10,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-19.61,MIDLAND,1984/08/15,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-19.95,MIDLAND,1984/08/20,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.15,MIDLAND,1984/08/25,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.31,MIDLAND,1984/08/31,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-21.43,MIDLAND,1984/09/05,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.48,MIDLAND,1984/09/10,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.59,MIDLAND,1984/09/15,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.66,MIDLAND,1984/09/20,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.73,MIDLAND,1984/09/25,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.8,MIDLAND,1984/09/30,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.85,MIDLAND,1984/10/05,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.96,MIDLAND,1984/10/10,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.99,MIDLAND,1984/10/15,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.93,MIDLAND,1984/10/20,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.91,MIDLAND,1984/10/25,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.89,MIDLAND,1984/10/31,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.52,MIDLAND,1984/11/05,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.4,MIDLAND,1984/11/10,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.45,MIDLAND,1984/11/15,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.6,MIDLAND,1984/11/20,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.59,MIDLAND,1984/11/25,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.62,MIDLAND,1984/11/30,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.75,MIDLAND,1984/12/05,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.78,MIDLAND,1984/12/10,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.8,MIDLAND,1984/12/15,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.43,MIDLAND,1984/12/20,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.36,MIDLAND,1984/12/25,390006095132301,45,12,"1984","1984",71-0
-95.223996,39.002366,Douglas,-20.15,MIDLAND,1984/12/31,390006095132301,45,12,"1984","1984",71-0
-99.90839,38.986439,Trego,-21.2,Trego Center,1984/03/22,385919099542601,195,12,"1984","1984",71-0
-99.90839,38.986439,Trego,-22.5,Trego Center,1984/09/13,385919099542601,195,12,"1984","1984",71-0
-99.90839,38.986439,Trego,-22.03,Trego Center,1984/12/04,385919099542601,195,12,"1984","1984",71-0
-100.885028,39.241906,Thomas,-119.66,Spica,1984/01/10,391434100530301,193,9,"1984","1984",143-72
-100.584621,39.277706,Sheridan,-104.58,Seguin,1984/01/03,391637100345901,179,9,"1984","1984",143-72
-100.584621,39.277706,Sheridan,-106.48,Seguin,1984/12/12,391637100345901,179,9,"1984","1984",143-72
-101.812453,39.353499,Sherman,-132.7,Ruleton SE,1984/01/23,392113101484901,181,8,"1984","1984",143-72
-100.53612,39.306726,Sheridan,-103.72,MENLO SE,1984/06/28,391821100320601,179,9,"1984","1984",143-72
-100.53612,39.306726,Sheridan,-104.22,MENLO SE,1984/12/12,391821100320601,179,9,"1984","1984",143-72
-100.871028,39.305805,Thomas,-96.08,GEM SE,1984/06/21,391822100521201,193,9,"1984","1984",143-72
-101.669849,39.35137,Sherman,-163.54,Goodland,1984/01/23,392107101400701,181,8,"1984","1984",215-144
-101.669849,39.35137,Sherman,-163.06,Goodland,1984/04/10,392107101400701,181,8,"1984","1984",215-144
-101.669849,39.35137,Sherman,-163.52,Goodland,1984/06/04,392107101400701,181,8,"1984","1984",215-144
-101.669849,39.35137,Sherman,-169.14,Goodland,1984/09/12,392107101400701,181,8,"1984","1984",215-144
-101.386441,39.317153,Thomas,-46.55,Brewster,1984/06/25,391858101231301,193,8,"1984","1984",71-0
-100.070207,39.262485,Graham,-92.24,HOXIE 1 SE,1984/12/17,391551100041901,65,9,"1984","1984",143-72
-100.647022,39.234106,Sheridan,-147.53,Grinnell North,1984/01/03,391401100384601,179,9,"1984","1984",215-144
-100.647022,39.234106,Sheridan,-143.99,Grinnell North,1984/06/05,391401100384601,179,9,"1984","1984",143-72
-100.647022,39.234106,Sheridan,-153.37,Grinnell North,1984/09/11,391401100384601,179,9,"1984","1984",215-144
-100.647022,39.234106,Sheridan,-146.28,Grinnell North,1984/12/12,391401100384601,179,9,"1984","1984",215-144
-100.183011,39.355734,Sheridan,-19.03,Studley,1984/01/03,392123100105401,179,8,"1984","1984",71-0
-100.183011,39.355734,Sheridan,-18.78,Studley,1984/12/12,392123100105401,179,8,"1984","1984",71-0
-101.241637,39.381173,Thomas,-94.96,LEVANT,1984/06/19,392252101142201,193,8,"1984","1984",143-72
-99.010181,39.66167,Smith,-29.19,KIRWIN,1984/03/06,393937099002701,183,4,"1984","1984",71-0
-101.572446,39.607367,Cheyenne,-98.1,Bird City South SE,1984/01/11,393625101342401,23,5,"1984","1984",143-72
-101.572446,39.607367,Cheyenne,-96.28,Bird City South SE,1984/04/09,393625101342401,23,5,"1984","1984",143-72
-101.572446,39.607367,Cheyenne,-94.78,Bird City South SE,1984/06/04,393625101342401,23,5,"1984","1984",143-72
-101.37192,39.606893,Rawlins,-13.67,Dewey Ranch SE,1984/01/24,393619101222101,153,5,"1984","1984",71-0
-100.48202,39.615264,Decatur,-101.99,Dresden South,1984/12/10,393656100285601,39,5,"1984","1984",143-72
-101.054432,39.217206,Thomas,-172.71,Winona NE,1984/06/05,391303101031701,193,10,"1984","1984",215-144
-101.054432,39.217206,Thomas,-183.16,Winona NE,1984/09/12,391303101031701,193,10,"1984","1984",215-144
-101.418141,39.672247,Cheyenne,-151.1,Dewey Ranch NW,1984/01/11,394020101250801,23,4,"1984","1984",215-144
-100.424519,39.620194,Decatur,-135.97,Dresden South,1984/01/05,393709100252601,39,5,"1984","1984",143-72
-100.424519,39.620194,Decatur,-133.89,Dresden South,1984/12/10,393709100252601,39,5,"1984","1984",143-72
-100.610021,39.201057,Sheridan,-99.81,Grinnell NE,1984/01/03,391204100364101,179,10,"1984","1984",143-72
-100.610021,39.201057,Sheridan,-101.5,Grinnell NE,1984/12/12,391204100364101,179,10,"1984","1984",143-72
-101.72915,39.3349,Sherman,-182.1,Goodland,1984/01/23,392001101434601,181,8,"1984","1984",215-144
-101.72915,39.3349,Sherman,-181.6,Goodland,1984/06/04,392001101434601,181,8,"1984","1984",215-144
-101.72915,39.3349,Sherman,-183.61,Goodland,1984/09/12,392001101434601,181,8,"1984","1984",215-144
-101.455143,39.525969,Sherman,-180.8,Dewey Ranch SW,1984/01/23,393132101272001,181,6,"1984","1984",215-144
-100.589122,39.480684,Sheridan,-99,Rexford NE,1984/06/27,392848100351301,179,7,"1984","1984",143-72
-100.589122,39.480684,Sheridan,-103.25,Rexford NE,1984/12/11,392848100351301,179,7,"1984","1984",143-72
-97.223994,39.499468,Clay,-9.5,CLAY CENTER NW,1984/03/09,392959097133801,27,6,"1984","1984",71-0
-97.223994,39.499468,Clay,-6.75,CLAY CENTER NW,1984/06/07,392959097133801,27,6,"1984","1984",71-0
-97.223994,39.499468,Clay,-12.3,CLAY CENTER NW,1984/09/12,392959097133801,27,6,"1984","1984",71-0
-97.223994,39.499468,Clay,-10.52,CLAY CENTER NW,1984/12/05,392959097133801,27,6,"1984","1984",71-0
-100.563821,39.484284,Sheridan,-107.58,Rexford NE,1984/12/11,392900100334201,179,6,"1984","1984",143-72
